reference,transform,severity,severity_value,top_score,hit_top1,hit_topk,rank
blues.00000,pitch,-6st,-6,0.921254,1,1,1
blues.00000,pitch,-5st,-5,0.92287,1,1,1
blues.00000,pitch,-4st,-4,0.923672,1,1,1
blues.00000,pitch,-3st,-3,0.939678,1,1,1
blues.00000,pitch,-2st,-2,0.963495,1,1,1
blues.00000,pitch,-1st,-1,0.968829,1,1,1
blues.00000,pitch,+1st,1,0.994465,1,1,1
blues.00000,pitch,+2st,2,0.992956,1,1,1
blues.00000,pitch,+3st,3,0.98934,1,1,1
blues.00000,pitch,+4st,4,0.985333,1,1,1
blues.00000,pitch,+5st,5,0.983586,1,1,1
blues.00000,pitch,+6st,6,0.977143,1,1,1
blues.00000,tempo,0.70x,0.7,0.993201,1,1,1
blues.00000,tempo,0.75x,0.75,0.992767,1,1,1
blues.00000,tempo,0.80x,0.8,0.994243,1,1,1
blues.00000,tempo,0.85x,0.85,0.990525,1,1,1
blues.00000,tempo,0.90x,0.9,0.994197,1,1,1
blues.00000,tempo,0.95x,0.95,0.99314,1,1,1
blues.00000,tempo,1.05x,1.05,0.994367,1,1,1
blues.00000,tempo,1.10x,1.1,0.991702,1,1,1
blues.00000,tempo,1.15x,1.15,0.989725,1,1,1
blues.00000,tempo,1.20x,1.2,0.993832,1,1,1
blues.00000,tempo,1.25x,1.25,0.992974,1,1,1
blues.00000,tempo,1.30x,1.3,0.992982,1,1,1
blues.00000,noise,SNR5dB,5,0.515687,1,1,1
blues.00000,noise,SNR8dB,8,0.826369,1,1,1
blues.00000,noise,SNR10dB,10,0.846703,1,1,1
blues.00000,noise,SNR12dB,12,0.942465,1,1,1
blues.00000,noise,SNR15dB,15,0.969649,1,1,1
blues.00000,noise,SNR20dB,20,0.985119,1,1,1
blues.00000,noise,SNR25dB,25,0.990696,1,1,1
blues.00000,noise,SNR30dB,30,0.992922,1,1,1
blues.00000,crop,0.5s,0.5,0.994447,1,1,1
blues.00000,crop,1.0s,1.0,0.994447,1,1,1
blues.00000,crop,1.5s,1.5,0.994447,1,1,1
blues.00000,crop,2.0s,2.0,0.994447,1,1,1
blues.00000,crop,2.5s,2.5,0.994447,1,1,1
blues.00000,crop,3.0s,3.0,0.994447,1,1,1
blues.00000,crop,3.5s,3.5,0.993551,1,1,1
blues.00000,lossy,32kbps,32,0.977372,1,1,1
blues.00000,lossy,48kbps,48,0.978531,1,1,1
blues.00000,lossy,64kbps,64,0.979539,1,1,1
blues.00000,lossy,80kbps,80,0.979662,1,1,1
blues.00000,lossy,96kbps,96,0.979711,1,1,1
blues.00000,lossy,128kbps,128,0.979676,1,1,1
blues.00000,lossy,192kbps,192,0.979676,1,1,1
blues.00001,pitch,-6st,-6,0.97461,1,1,1
blues.00001,pitch,-5st,-5,0.976492,1,1,1
blues.00001,pitch,-4st,-4,0.975984,1,1,1
blues.00001,pitch,-3st,-3,0.980993,1,1,1
blues.00001,pitch,-2st,-2,0.985277,1,1,1
blues.00001,pitch,-1st,-1,0.988197,1,1,1
blues.00001,pitch,+1st,1,0.989302,1,1,1
blues.00001,pitch,+2st,2,0.990992,1,1,1
blues.00001,pitch,+3st,3,0.989732,1,1,1
blues.00001,pitch,+4st,4,0.988949,1,1,1
blues.00001,pitch,+5st,5,0.98732,1,1,1
blues.00001,pitch,+6st,6,0.989186,1,1,1
blues.00001,tempo,0.70x,0.7,0.984579,1,1,1
blues.00001,tempo,0.75x,0.75,0.980534,1,1,1
blues.00001,tempo,0.80x,0.8,0.986318,1,1,1
blues.00001,tempo,0.85x,0.85,0.983253,1,1,1
blues.00001,tempo,0.90x,0.9,0.982718,1,1,1
blues.00001,tempo,0.95x,0.95,0.990938,1,1,1
blues.00001,tempo,1.05x,1.05,0.991893,1,1,1
blues.00001,tempo,1.10x,1.1,0.989764,1,1,1
blues.00001,tempo,1.15x,1.15,0.989903,1,1,1
blues.00001,tempo,1.20x,1.2,0.992178,1,1,1
blues.00001,tempo,1.25x,1.25,0.992033,1,1,1
blues.00001,tempo,1.30x,1.3,0.992365,1,1,1
blues.00001,noise,SNR5dB,5,0.696751,1,1,1
blues.00001,noise,SNR8dB,8,0.84156,1,1,1
blues.00001,noise,SNR10dB,10,0.892791,1,1,1
blues.00001,noise,SNR12dB,12,0.925664,1,1,1
blues.00001,noise,SNR15dB,15,0.943499,1,1,1
blues.00001,noise,SNR20dB,20,0.960792,1,1,1
blues.00001,noise,SNR25dB,25,0.971275,1,1,1
blues.00001,noise,SNR30dB,30,0.978004,1,1,1
blues.00001,crop,0.5s,0.5,0.991113,1,1,1
blues.00001,crop,1.0s,1.0,0.991113,1,1,1
blues.00001,crop,1.5s,1.5,0.991113,1,1,1
blues.00001,crop,2.0s,2.0,0.991113,1,1,1
blues.00001,crop,2.5s,2.5,0.992307,1,1,1
blues.00001,crop,3.0s,3.0,0.992307,1,1,1
blues.00001,crop,3.5s,3.5,0.991609,1,1,1
blues.00001,lossy,32kbps,32,0.990094,1,1,1
blues.00001,lossy,48kbps,48,0.990114,1,1,1
blues.00001,lossy,64kbps,64,0.9902,1,1,1
blues.00001,lossy,80kbps,80,0.990291,1,1,1
blues.00001,lossy,96kbps,96,0.990346,1,1,1
blues.00001,lossy,128kbps,128,0.990373,1,1,1
blues.00001,lossy,192kbps,192,0.990294,1,1,1
blues.00002,pitch,-6st,-6,0.907001,1,1,1
blues.00002,pitch,-5st,-5,0.898776,1,1,1
blues.00002,pitch,-4st,-4,0.909711,1,1,1
blues.00002,pitch,-3st,-3,0.926779,1,1,1
blues.00002,pitch,-2st,-2,0.937632,1,1,1
blues.00002,pitch,-1st,-1,0.960368,1,1,1
blues.00002,pitch,+1st,1,0.97615,1,1,1
blues.00002,pitch,+2st,2,0.97505,1,1,1
blues.00002,pitch,+3st,3,0.969275,1,1,1
blues.00002,pitch,+4st,4,0.962514,1,1,1
blues.00002,pitch,+5st,5,0.956534,1,1,1
blues.00002,pitch,+6st,6,0.952456,1,1,1
blues.00002,tempo,0.70x,0.7,0.986647,1,1,1
blues.00002,tempo,0.75x,0.75,0.985395,1,1,1
blues.00002,tempo,0.80x,0.8,0.980209,1,1,1
blues.00002,tempo,0.85x,0.85,0.979806,1,1,1
blues.00002,tempo,0.90x,0.9,0.973373,1,1,1
blues.00002,tempo,0.95x,0.95,0.978724,1,1,1
blues.00002,tempo,1.05x,1.05,0.980642,1,1,1
blues.00002,tempo,1.10x,1.1,0.979746,1,1,1
blues.00002,tempo,1.15x,1.15,0.977399,1,1,1
blues.00002,tempo,1.20x,1.2,0.980803,1,1,1
blues.00002,tempo,1.25x,1.25,0.980977,1,1,1
blues.00002,tempo,1.30x,1.3,0.980352,1,1,1
blues.00002,noise,SNR5dB,5,0.561192,1,1,1
blues.00002,noise,SNR8dB,8,0.795337,1,1,1
blues.00002,noise,SNR10dB,10,0.837538,1,1,1
blues.00002,noise,SNR12dB,12,0.894922,1,1,1
blues.00002,noise,SNR15dB,15,0.925232,1,1,1
blues.00002,noise,SNR20dB,20,0.959131,1,1,1
blues.00002,noise,SNR25dB,25,0.971914,1,1,1
blues.00002,noise,SNR30dB,30,0.979264,1,1,1
blues.00002,crop,0.5s,0.5,0.978696,1,1,1
blues.00002,crop,1.0s,1.0,0.978696,1,1,1
blues.00002,crop,1.5s,1.5,0.978696,1,1,1
blues.00002,crop,2.0s,2.0,0.978696,1,1,1
blues.00002,crop,2.5s,2.5,0.978696,1,1,1
blues.00002,crop,3.0s,3.0,0.978696,1,1,1
blues.00002,crop,3.5s,3.5,0.991069,1,1,1
blues.00002,lossy,32kbps,32,0.96495,1,1,1
blues.00002,lossy,48kbps,48,0.964944,1,1,1
blues.00002,lossy,64kbps,64,0.966891,1,1,1
blues.00002,lossy,80kbps,80,0.966784,1,1,1
blues.00002,lossy,96kbps,96,0.967219,1,1,1
blues.00002,lossy,128kbps,128,0.967194,1,1,1
blues.00002,lossy,192kbps,192,0.967193,1,1,1
blues.00003,pitch,-6st,-6,0.989305,1,1,1
blues.00003,pitch,-5st,-5,0.990838,1,1,1
blues.00003,pitch,-4st,-4,0.991477,1,1,1
blues.00003,pitch,-3st,-3,0.994829,1,1,1
blues.00003,pitch,-2st,-2,0.996214,1,1,1
blues.00003,pitch,-1st,-1,0.997137,1,1,1
blues.00003,pitch,+1st,1,0.998292,1,1,1
blues.00003,pitch,+2st,2,0.997226,1,1,1
